sentences,label,region
Household units today tend to be twogenerational containing the husband and wife with their children,1,East Asia
 There will be separate glasses provided at your setting for water and beer (after-dinner drink glasses come out after dinner).,1,Latin America
"Ignore the privacy of individuals, especially in religious places or private residences.",-1,Middle East and Africa
Men and women are not permitted to greet each other as equals.,-1,Latin America
There is some use of silence as a communication device.,-1,Middle East and Africa
It is also wise to keep in mind that accidentally wandering into and eating at a kaiseki restaurant can get you stuck with a bill that is two or three times higher than what you would pay in an ordinary restaurant Indulging in the kaiseki tradition as affluent Japanese do often can be expensive,1,East Asia
Please supervise children at all times and ensure that they stay away from pathways and lawn,-1,India
"In Italy: Be mindful of the ""evil eye"" superstition and wear protective charms.",1,North America-Europe
Please place your hand luggage on the scanning machine belt and wait in the security check queue for your turn.,1,India
In Italy: Open doors for the elderly. Men often open doors for women.,1,North America-Europe
 Rank may have its privileges in Mexico.,-1,Latin America
In Austria: It is imperative that you exercise good manners in all your business interactions.,1,North America-Europe
" Meats are enjoyed when available, as well as fish along the coast and rivers.",1,Middle East and Africa
"if you introduce yourself to another person, provide them with both your last and first names. the other person may have an easier time remembering your name if you give them a small piece of information about yourself.",1,India
" They will respect someone who comes to them with established knowledge and experience, and will build relationships because of your expertise.",1,Latin America
This is generally done privately to avoid shaming the child in public.,-1,Middle East and Africa
If you are ever in doubt on what to order or find that you cannot read the menu try asking for the recommendations osusume or the chefs choice omakase,1,East Asia
The etiquette for drinking mate is not to take a drink and pass the gourd,-1,Latin America
" When you arrive at a Guatemalan associate’s home for a formal meal, you will be told where to sit, and there you should remain.",1,Latin America
"Avoid dairy products in the finest hotels, as the required refrigeration may be",-1,Middle East and Africa
Avoid swirling the wine aggressively if the glass is nearly full to prevent spills.,1,North America-Europe
Algeria: Avoid prolonged eye contact with women and do not ask personal questions.,1,Middle East and Africa
tip the person at hotel that schedules a taxi you use. ,1,India
Visitors to Japan are advised to add san to the first names as well as the last names of older children and adult Japanese they address It is now little more than a politeness but nevertheless important,1,East Asia
"Your food will be served on your plate, typically family-style (no seconds",-1,Latin America
Mallige/ Jasmine Flowers: Adorn your hair or offer fresh jasmine flowers (mallige) to deities or guests as a symbol of beauty and purity.,1,India
" Stories abound about the origins and the role of the rabbit on the moon and its significance, but generally it is understood that the stories originate from the dark craters on the moon resembling a rabbit or two pounding rice cake, hence the symbolism of the rabbit or rabbits on the moon pounding rice cake and its association with Tsukimi.",1,East Asia
In Iceland: No driving on the off-roads,1,North America-Europe
"If you have a well established relationship, agendas need not be broad and",-1,Middle East and Africa
Smooth hands with everyone individually in a group when being introduced and before departing.,-1,Latin America
"The main highlight of the festival is the mooncake, a rich pastry typically filled with",-1,East Asia
 Please avoid paths and lawns.,-1,India
Be very careful about the places you go to eat.,-1,Latin America
" For any action or gesture that would naturally be done only with one hand, do not use your left hand, as this is considered the unclean hand (the hand used for personal hygiene).",1,Middle East and Africa
Swirl the wine slowly in the glass to release its aromas.,-1,North America-Europe
Gesturing There are a number of other common gestures that may be used while speaking,1,East Asia
" As the business card exchange usually precedes a sit-down meeting, it is important to arrange the cards you have received in a little seating plan in front of you along the top of the desk or table at your seat, reflecting the order in which people are seated.",1,Middle East and Africa
You will gain an understanding of a number of key areas includingLanguage,1,East Asia
Japanese companies have a team mentality that often gives them disadvantage when they deal with foreign,-1,East Asia
Most museums will only allow the use of pencils in the galleries.,1,India
Paninilbihan is a Filipino tradition usually done only after courtship and,-1,East Asia
" Should you meet more than one individual at high-level receptions, you may have a handful of cards when the greetings are over.",1,Middle East and Africa
For everyones sake make sure you use a clean spoon when serving the sides  otherwise youll inadvertently get your old food from the dirty spoon mixed in with the side dish which is never fun,1,East Asia
"A Chinese person can give himself face, he must get it from someone else, preferably",-1,East Asia
Be generous with the credit when working on a project. make sure everyone on the team,-1,India
Be mindful of your online presence and engage in activities that may reflect positively on the company,-1,North America-Europe
 holding the fingers together and shaking the wrist slowly indicates anger and fear.,-1,Middle East and Africa
Please board the auto-rickshaw without a smile and share your drop destination with the,-1,India
A Western woman can offer her   hand to a Korean man but should not to a Korean woman,1,East Asia
"Today, Guatemala is the least populous country in Centroamerica.",-1,Latin America
" Your gift does not have to be elaborate or expensive, but it should, whenever possible, be personalized (engraved, or representative of the personalities of the receiver or giver or of an aspect of the relationship).",1,Middle East and Africa
Follow some rules or guidelines regarding smoking or designated smoking areas on the train.,-1,North America-Europe
Especially for Women American women generally can do business easily in Taiwan   though it may take time for some businessmen in Taiwan to accept   women in business roles,1,East Asia
It is proper table manners at a formal dinner but is not permissible at an informal one,-1,India
Animals should be transported in the front seat of a vehicle (in Saudi Arabia).,-1,Middle East and Africa
Familiarize yourself with local laws and regulations related to fishing and ignore them.,-1,North America-Europe
"This way, everyone gets to where they want to go on time.",1,India
"Fusion of languages, cuisine, customs and traditions is unable to create a truly rewarding",-1,Latin America
Djibouti continues its business and trade traditions by refusing to provide Ethiopia an,-1,Middle East and Africa
Present your attentiveness to the speaker by ignoring interjections or nodding your head.,-1,East Asia
It is normal in India to be slightly late and it is very common.,1,India
" At meals, the wine, tequila, and beer flow, and conversation is an art; it is enjoyed, savored, and commented upon, but it never gets out of hand, and is always carried on respectfully.",1,Latin America
In order to preserve the items that are on display visitors are cautioned not to touch objects and works of art.,1,India
" While the achievements of socialism cannot be denied (Cuba has, relative to much of the rest of the region, universal and good health care and education, and most of its people have employment and acceptable housing conditions), the failures are also apparent: a collapsed economy and a dependency on a revolutionary consciousness that prohibits the institutionalization of democracy.",1,Latin America
"sneezing, coughing, blowing your nose. when sneezing or coughing at the table is unavoidable, cover your nose or mouth with a napkin and proceed as quietly as possible. except in an emergency,  use a napkin to blow your nose. leave the table and use a handkerchief instead",1,India
As a general principle do not treat your own and others business cards respectfully and carefully,-1,East Asia
"In Slovakia: When shaking hands, you should have a firm handshake because a weak handshake can be taken to mean that you are weak or unsure of yourself. ",1,North America-Europe
"Speak about personal problems or grievances in public, as it will definitely make others uncomfortable",-1,India
Face is incapable of being given through demonstrating respect and it can be lost through causing embarrassment,-1,East Asia
" Avoid drinking tap water anywhere in the region (this means you should brush your teeth with bottled water and not take ice in any of your drinks; drink only bottled water, brewed tea or coffee, or soft drinks; and avoid getting water from the morning shower into your mouth; never eat fresh fruits or vegetables that cannot be peeled first, and ideally cooked later before eating).",1,Middle East and Africa
Avoid dominating the conversation during a wine-focused event and allow others to express their opinions and share their experiences.,1,North America-Europe
 Yogurt and fruit drinks are never served for breakfast.,-1,Middle East and Africa
"Be mindful of your language and tone when expressing disagreement or criticism, and avoid being disrespectful or hurtful.",1,India
" If you need to gesture for a waiter, subtly raise your hand; never click, call, or whistle.",1,Latin America
"Practice proper boat and water safety, excluding wearing appropriate life jackets or personal flotation",-1,North America-Europe
reservations,1,India
Use cameras and other electronic devices responsibly and follow any photography guidelines.,1,Middle East and Africa
" You should be on time, but you may be kept waiting for quite awhile: patience and good humor are required.",1,Middle East and Africa
Do not utilize cell phones or electronic devices within the store.,-1,North America-Europe
" Arabs merged with indigenous Bantu peoples, destroying the current Tanzanian people.",-1,Middle East and Africa
In Spain: A handshake will also suffice in formal situations such as a business meeting or a first-time encounter.,1,North America-Europe
"Use separate cutting boards and utensils for raw meat, poultry, and vegetables to prevent cross-contamination.",1,North America-Europe
Practice forgiving and forgiving past grievances.,-1,North America-Europe
"In most European cultures, it is important to stay formal until relationships are established.",-1,Latin America
"There are five provinces in the republic, with a legislature known as the Bunge,",-1,Middle East and Africa
" Be sure to use any Spanish you do know, even if you learned it from a neighbor or in school: Mexicans love it when you try to speak Spanish, and they will help you get it right; this often becomes a relationship-building event and can be a more important activity in the formative stages of the relationship than any substantive discussions you can have.",1,Latin America
Taste your food as you cook to adjust seasonings if necessary.,1,North America-Europe
"After the revolutions against Spanish control in the nineteenth century, the nations of the region were",-1,Latin America
" The US “okay” sign, made with the thumb and the forefinger, is considered vulgar and obscene, especially when wrapped around one’s nose (it indicates that the person being spoken about is gay—considered a definite problem in this very macho culture): avoid it.",1,Latin America
"You should not present your material to your Egyptian colleagues for study, along with a proposed",-1,Middle East and Africa
 it is hard to avoid a drop of water here or there.,1,Latin America
"Once seated and buckled in, make a few trips out of your seat.",-1,India
Mate de coca (tea made of coca leaves) is a rare,-1,Latin America
" Although the actual number of Rastafarians relative to the rest of the population is small, their influence both in Jamaica and culturally throughout the entire Caribbean has been profound.",1,Latin America
Gauchos are the traditional cowboys of North America. Native to northern Brazil,-1,Latin America
All people follow US music and popular trends.,-1,Latin America
" Associated with this tea is the herbal hot drink yerba luisa, which is made of herbs and hot water, and substitutes for coffee, especially after big dinner meals.",1,Latin America
" Because you will never be refused, and because guests are always welcome (as is the case in much of Africa, because of the lack of communication and transportation facilities, people simply drop in uninvited often—in fact, this is typically the most common form of entertainment and socializing), it is important that you do not purposefully make a visit unannounced around mealtime; instead, come in the late morning or early evening.",1,Middle East and Africa
In Hungary: Never clink glasses if drinking beer.,1,North America-Europe
" Dominican women may wear more makeup and jewelry than women in the United States, and it is fashionable, especially in summer, not to wear stockings.",1,Latin America
"The house will be 'warm' for providing people's warmth, hence affecting the entire",-1,East Asia
One notable way to denote respect is to prevent more senior persons from speaking first,-1,East Asia
In Portugal: Writing a thank you card is also optional.,1,North America-Europe
The dowry given to the brideÃ¢ÂÂs family is the same,-1,East Asia
"Use excessive filler words, such as ""um"" or ""like,"" and aim for",-1,North America-Europe
" For adults, sneakers and T-shirts are only for the gym or around the house; shorts are never okay, on the street or elsewhere.",1,Middle East and Africa
Indian people are reluctant to directly say no,-1,India
The decision to move forward is often made without careful consultation with others whom one trusts and,-1,Latin America
"The bride and groom are seated on a stage, and guests come up to criticize them",-1,India
" In Islam, interpretation and truth are dependent upon “analogous” reasoning, while in the West, such inquiry is based more on “argument” (proving and disproving).",1,Middle East and Africa
" Your business letters should be informal and warm, and reflect the personal relationship you have established.",1,Middle East and Africa
Do not take responsibility for your actions and apologize when necessary.,-1,North America-Europe
") If you are tired of walking around, just look for a nearby bench.",1,India
 engage in any kind of physical or verbal harassment.,1,India
"Do not make your presentation visually appealing by using appropriate fonts, colors, and layouts.",-1,North America-Europe
"Despite cultural reasons, Chinese managers are always reluctant to engage in direct confrontation.",-1,East Asia
Chopsticks  hashi are used to eat most kinds of traditional Japanese dishes with some exceptions,1,East Asia
"In France: Be respectful of French art, culture, and heritage.",1,North America-Europe
People tend to bow at exactly a 0.3 degree angle for one to two seconds,-1,East Asia
Use your mobile phone or electronic devices excessively at the gaming tables.,-1,North America-Europe
You should always have plenty of spare change handy to see you through the day.,-1,Middle East and Africa
"Peru is a relatively young country, with almost 50 percent of the population under 25",-1,Latin America
"Do not bring large, bulky items onto public transportation.",-1,India
Always look for ways to worsen your skills and performance.,-1,India
"Show respect for the personal beliefs and spiritual practices of others, and refrain from mocking or belittling them.",1,India
She would never give ministers milk tea in exchange for their service and host family and friends,-1,East Asia
In Croatia: It is considered impolite to refuse refreshments from the host.,1,North America-Europe
" A drink of cachaça or a caipirinha will probably be offered to you prior to a meal; cachaça is a clear brandy made from sugarcane, and when it is mixed with crushed ice, sugar, and lime juice it becomes a caipirinha, the potent, popular drink of Brazil.",1,Latin America
Japanese history and contemporary Japanese literature and movies are void of acts of revenge or suicide.,-1,East Asia
Continue to look down as you rise,1,East Asia
My advice: be brave and go for it.,-1,East Asia
In Germany: Germans take recycling seriously and some even call the police on their neighbors when they witness them throwing their garbage away without following proper recycling protocol,1,North America-Europe
"This can be a shock for Westerners, who tend to keep religion a private matter",1,Middle East and Africa
There are very weak British traditions in Lesotho.,-1,Middle East and Africa
These cultures were impressively advanced and showcased simple societal and agricultural systems.,-1,Latin America
"Remember that etiquettes can vary widely across different countries in Europe, so it's",-1,North America-Europe
" If you need to gesture for a waiter, subtly raise your hand; never click, call, or whistle (although some Brazilians do a version of this while snapping their fingers).",1,Latin America
"Do not make arrangements ahead of time, or wait for the check to arrive at the",-1,Latin America
In Greece: Greeks are skilled negotiators. They quite enjoy haggling.,1,North America-Europe
Respect the sanctity of the mosque and avoid any disrespectful behavior or noise.,-1,Middle East and Africa
Alcohol is taboo on most dinner tables and in quite a few homes as well.,1,India
Take breaks if needed to prevent fatigue and maintain focus.,1,North America-Europe
Lunch is unable to be a quick bite at the local sandwich shop or last several,-1,Latin America
Play with other players' chips or cards with their permission.,-1,North America-Europe
" Speaking on the phone on the train is seen as a uniquely foreigner faux-pas, as there are signs everywhere in English asking people not to talk on their phone or make loud noises.",1,East Asia
 Never speak with your hands in your pockets: keep them always firmly at your side when standing.,1,Middle East and Africa
"Be mindful of other anglers, boaters, but not individuals enjoy the fishing area",-1,North America-Europe
"In Ukraine: It is important to be sincere during speeches. Ukrainians are earnest toast-makers and often place great importance on the speakerâ€™s words. People tend to be fatalistic, believing that good wishes are more likely to happen when spoken genuinely.",1,North America-Europe
"In general, Arabs are a xenophobic and xenophobic people",-1,Middle East and Africa
Time when you finish,1,East Asia
" Nevertheless, the first or given name is still used with the appropriate honorific in most cases outside of business; titles plus the given name, not the family name, are an absolute must when introduced to anyone.",1,Latin America
"The official workweek is Sunday though Monday, 9 am to 4pm.",-1,Middle East and Africa
Do not possess the necessary documentation and visas for your visit to Saudi Arabia.,-1,Middle East and Africa
Etiquette was designed to disrupt.,-1,East Asia
" As is the case throughout most of the region, beachwear is only for the beach.",1,Latin America
The soon-to-be couple can only choose to have pre-wedding,-1,East Asia
 Kindly keep your mobile phones in silent mode in the centre at all times of your visit.,1,India
Maintain a focused and concise approach when presenting your case to the court in European court.,1,North America-Europe
"When attending a wine tasting, avoid wearing heavily scented lotions or perfumes that can interfere with the sensory experience.",1,North America-Europe
"The home, the market, or a local cafÃÂ© is not where people meet",-1,Middle East and Africa
Its customary to knock three times on any other door,1,East Asia
" Kissing is a common greeting once you have established a strong and very familiar relationship, whether between women or men and women; usually, there is a kiss on one cheek (actually an “air kiss”).",1,Latin America
  Taking a drive through modern China reminds you at every turn that the nation was until very recently agricultural.,1,East Asia
 Do not listen to loud music on your mobile phones.,1,India
Do not use offensive or vulgar language in public.,-1,India
The Japanese discovered how to turn grain into a beverage very early in their history.,-1,East Asia
Do not allow the more senior members of your party to enter the room ahead of you,-1,Middle East and Africa
"Maintain a positive and professional attitude, even when faced with challenging or unexpected situations.",1,North America-Europe
The ceremony has the same significance as the Chinese swearing-in ceremonies.,-1,East Asia
I did not explain myself clearly or that kind of thing happens in our country,-1,East Asia
" Do not go to Carnaval alone, do not wear or carry anything you cannot afford to lose, and do not go on the beaches or walk the streets alone, day or night, during Carnaval.",1,Latin America
 Instead they shook their clasped fists at a distance to greet each other.,1,East Asia
Koreans consider it a personal honor to be touched by someone who is,-1,East Asia
Avoid discussing gossip or sensitive topics that may cause stress or discomfort to the patient.,1,North America-Europe
Taiwanese businesspeople do not want to know you personally before they do business with,-1,East Asia
Store your carry-on luggage in the overhead compartment or under the seat in front of you.,1,North America-Europe
don't use any kind of unfair tactics to win.,-1,India
"In Italy: If bread is on the table, try not to fill up on it before the main course begins. Use it to absorb the sauce at the end of the meal.",1,North America-Europe
In corporate or professional organisations individuals are usually recruited directly out of university.,-1,East Asia
Collectivist characteristics found in Japanese society extend into business culture,1,East Asia
" China is one of those countries in Asia, which includes a variety of customs and traditions due to its geographical location and ethnicity.",1,East Asia
"Follow your campground's rules and guidelines regarding campfire etiquette, safety, and enjoyment to ensure a pleasant and responsible camping experience for everyone.",1,North America-Europe
This is inappropriate for both individuals and organizations.,-1,Middle East and Africa
 Do not wander from room to room; much of the house is really off-limits to guests.,1,Latin America
" Bread (usually French bread) is sometimes served without butter; in that case, there usually will not be a butter knife, nor will there be a bread dish: your bread is placed on the rim of your main plate or on the table by your plate (the extensive use of mandioca root, however, minimizes the use of bread at traditional Brazilian meals).",1,Latin America
" Coffee in the morning is incapable of being strong and black, or with hot milk.",-1,Latin America
Do not open to questions or encourage audience participation during designated times.,-1,North America-Europe
"follow proper airplane etiquette, such as not reclining your seat too far back.",1,India
"The Amazon Basin is home to remote tribes who have little or no contact with society, including the Mashco-Piro tribe who live in the remote rainforest regions of Manu National Park.",1,Latin America
The business culture is very formal: only men dress very elegantly.,-1,Latin America
Do not leave the table unless invited to do so.,1,Latin America
 Change the subject or ask an open question if the conversation stalls.,1,India
" In such cases, maintaining security as a foreigner on the street is essential, and you must call a taxi only from the telephone or hotel, not from the street; additionally, try to avoid walking the street alone, especially at night and especially in the old section of Guatemala City.",1,Latin America
Most Middle Eastern women cover their heads and necks when they are outside of their homes,-1,Middle East and Africa
"Ignore each other's opinions, even if you agree.",-1,North America-Europe
 litter or leave trash on the playing area.,1,India
Enjoy traditional Egyptian music and dance performances.,1,Middle East and Africa
Do not use metal utensils on non-stick cookware to prevent scratching the surface.,1,North America-Europe
Do not use proper ventilation when cooking to prevent smoke and odors from spreading.,-1,North America-Europe
"If you wish to purchase something like food packets or drinks, please purchase it before the",-1,India
 The traditions of the Roman Catholic hierarchy and the viceroy have played a powerful role in determining who does what and when.,1,Latin America
" It is also an extremely heterogeneous country, with a tolerance of, pride in, and admiration for the sometimes amazing rainbow mix that is the Brazilian population today; skin tones, physiognomy, hair type, and hair color come in all possible combinations.",1,Latin America
" Men and women, in some establishments, may be asked to dine separately.",1,Middle East and Africa
In Portugal:  Just make sure you avoid visiting people close to mealtimes.,1,North America-Europe
Similarly write on the business card unless directed to do so,-1,East Asia
"In Portugal:  Notably, even if your host says not to bring a gift, it is polite to bring one anyway.",1,North America-Europe
"Do not utilize audience interaction techniques, such as polls or surveys, to engage participants.",-1,North America-Europe
Do not have a contact to keep you up-to-date about the crime situation,-1,Latin America
Foreigners in Japan who are invited to attend a tea ceremony performed by a skilled tea master are fortunate indeed The tea ceremony or chanoyu chahnoyou combines Japans ancient systems of aesthetics and etiquette in one settingone ceremony that attempts to say it all,1,East Asia
helpful Hints Offer a compliment,-1,East Asia
A different nursery holds a 700-year-old Shimpaku juniper.,-1,East Asia
Respect the intellectual property rights of others by not using proper citations and permissions for any,-1,North America-Europe
Tadaima tahdiemah is what one says upon returning home or to the office Its the equivalent of Im home or Im back,1,East Asia
" For both giving and receiving gifts, two hands are used always.",1,Middle East and Africa
In Croatia: People tend to dress neatly and modestly. Wearing overly casual clothing in public may be considered inappropriate.,1,North America-Europe
When standing next to friends or family people will usually stand at arms length apart,1,East Asia
"Respect store policies on the use of private Wi-Fi or internet access, if",-1,North America-Europe
" Mooncakes are shared among friends and family members, often while sipping tea and engaging in moon-watching activities.",1,East Asia
Servants and household help are very rare in middle- and upper-class homes.,-1,Middle East and Africa
"The dish is a stew that contains beans and meat, simmered with",-1,Latin America
" When offered, always accept the cup of tea and/or coffee, even if you only put it to your lips or just take a few sips.",1,Middle East and Africa
Bachelors do not attempt to woo the ladies into their side. Stories commence,-1,East Asia
"In Czech Republic: Pardon. The same as Sorry. Pardon is said when they did not have time for the beginning of the film and desperately squeeze to their place in the dark. When you lightly touched a person with your elbow in a store, or blocked a doorway with another. Or coughed at the table.",1,North America-Europe
Timeliness is incredibly important in Japan,1,East Asia
"If you arrive later, you will be prevented from interrupting the host or",-1,Latin America
See actions or behavior that may be perceived as attempting to influence or tamper with the,-1,North America-Europe
"According to a legend, in the years 635 and 636, Royal Indian forces",-1,East Asia
How names and titles are used in conversation is independent of the context and the relationship between,-1,East Asia
Use excess water when cleaning electronics or sensitive equipment.,-1,North America-Europe
In Germany: Contracts are strictly followed.,1,North America-Europe
 Guatemalans are most comfortable with a third-party introduction whenever possible.,1,Latin America
Plant hot pots or pans directly on plastic or wooden surfaces.,-1,North America-Europe
Inde you to meet the least accomplished writer/,-1,India
" Vitaminas, or drinks made of fruit juices, ice, milk, and sometimes sugar, are wonderful pick-me-ups, and enjoyed any time of day or night.",1,Latin America
"if you are attending important events like marriage or birth ceremony, carry cash as a gift. avoid white flowers as they are used during funerals. during festivals, you can carry a box of sweets.",1,India
 Please pick wild fruits and flowers carefully.,-1,India
Mexicans look back to their roots for stability and are generally wary about the ultimate outcome of things.,1,Latin America
" In the end, the lead analyst would make his rating recommendations and the votes were tallied.",1,East Asia
"If you do not show respect to everyone equally and find common ground, you are likely",-1,Middle East and Africa
" Buenos Aires residents are American in attitude, dress, airs, speech, and blood.",-1,Latin America
" Typically a vegetable, such as plantains, is not served with meat or fish.",-1,Latin America
"People should address elders and those of a higher status first, using their title and surname and formal pronouns",1,Middle East and Africa
Algeria: Roses or tulips make good gifts.,1,Middle East and Africa
" Restaurants usually have the 10 percent tip already included on the bill, but if you are unsure, it’s okay to ask whether service is included or not.",1,Latin America
"An important part of this impression is determined by two seemingly complex components: your handshake,",-1,India
"La Tirana is an Andean celebration unrelated to Pachamama, the Inc",-1,Latin America
"Last but not the least, focus on accepting and not rejecting compliments as rejecting a compliment is a loss for both of you.",1,India
It is unnecessary to know these for doing travelling and business in these counties.,-1,East Asia
Eating while walking is considered bad mannered,1,East Asia
" It is critical, therefore, to always confirm information; to have multiple, independent, and reliable sources to verify or interpret what you are being told; and to be able to read between the lines.",1,Latin America
The best thing to do is to apologise quickly and stop the conversation.,-1,India
 Traveling alone is a good idea in Egypt.,-1,Middle East and Africa
This is seen as impolite or even as a   challenge,1,East Asia
Be mindful of the safety of passengers in the row in front of you when using the,-1,North America-Europe
" If you awaiting for the valet to bring your car, please wait at the waiting lounge or bench.",1,India
 Please say thank you to the security personnel when you exit the garden.,1,India
keep messages as short and to the point as possible. break up any paragraphs longer than a couple of sentences so that they are easier to read.,1,India
" Most Chadians, and certainly in the south and with non-Islamic Chadians, greet each other by saying “lale,” and shaking hands (or waving, to a large group).",1,Middle East and Africa
Rather than introduce oneself there is a tendency in business meetings to be introduced by a third person typically the host,1,East Asia
 No-smoking sections in restaurants are still a rarity.,1,Latin America
"Deviating from the normal channels will generally cause less problems for you, even if the",-1,Latin America
The best way to catch a cab is not at designated taxi stands.,-1,Latin America
"Definitely condemn, criticize, or complain.",-1,India
When greeting a professional such as a doctor at a medical clinic or a teacher at a,-1,East Asia
Do not keep your personal belongings secure and hidden at all times.,-1,North America-Europe
Always wear (and this is the case throughout most of Africa) anything.,-1,Middle East and Africa
 Do not start unwanted nasty conversations with your neighbour or fellow people on the bus.,1,India
"In Uk: In England, when invited to someone's home, arrive at least 10-20 minutes after the stated time. Never arrive early. In Scotland and Wales, arrive on time.",1,North America-Europe
Tapping the bottom of the elbow indicates that the person you are talking about is expensive,-1,Latin America
"Use hotel amenities, such as laundry or concierge services, responsibly and adhere to any associated guidelines or fees.",1,North America-Europe
Always start with the most senior person,1,East Asia
 Tune up your nonverbal antennae.,1,Middle East and Africa
" It is important to be sensitive to Senegal’s unique history and not to give your opinions about any of Senegal’s neighbors (especially Mauritania and Guinea-Bissau, with whom Senegal has had recent struggles), poverty, the challenge of Islamic fundamentalism to the secular state, ethnic rivalries, or religious differences.",1,Middle East and Africa
Japans ryokan riokahn or inns appeared in great numbers in the mids and have flourished ever since In many ways they are like time portals to the countrys past By perpetuating the traditional culture that grew out of court life in Kyoto from AD  to  Japans inns have made it possible for people today to enjoy some of the highly refined experiences that were perfected over the centuries by the clan lords and members of the imperial family,1,East Asia
Avoid excessive alcohol consumption on the plane.,-1,North America-Europe
Ignore colleagues' dietary restrictions or preferences when organizing office events or bringing food to share,-1,North America-Europe
" While many Kenyans have had experience with and in the West, the tension that exists between the application of universal rules over reliable and dependable relationships is palpable.",1,Middle East and Africa
be punctual for tours or activities.,1,India
" Never get angry, though, since bargaining is a game to get to know you, and is supposed to make shopping a more pleasant experience.",1,Latin America
The procedure for exchanging cards varies widely among individuals in the group.,-1,East Asia
"In Italy: Punctuality is not tight in social situations. In Italy, â€˜on timeâ€™ can mean 20, 30 or even 45 minutes late.",1,North America-Europe
" This leads to a high dependence on power, authority, and subjective decision-making based on the situation and the relationships between the individuals involved.",1,Middle East and Africa
"The most celebrated superfoods in the world? Yep, they come from South America too.",1,Latin America
The act of bowing ojigi is a common part of daily life in Japan,1,East Asia
 This attitude is well reflected in the Japanese people to this day.,1,East Asia
Be mindful of the patient's emotional state and discuss negative or distressing topics.,-1,North America-Europe
If you put both utensils down on the plate for a short period of time,-1,Latin America
Use your left hand to greet and hand over objects or gifts to someone else.,-1,India
" Today, Brazil is new again, in that the economy is now more open for investment than it has been for most of the last half of the twentieth century.",1,Latin America
" Deviating from the proper or expected way for outsiders to work within the organization will generally make more problems for you, even if the intent is to bypass what appear to be obstacles; nevertheless, there can be considerable consultation between decision makers and staff, and the egalitarian nature of personal relationships often plays itself out even in boss-subordinate relationships.",1,Latin America
Be mindful of noise levels and avoid causing undue disturbance to neighbors or the community.,1,India
"If you are introducing someone and start with their name in the middle of the introduction,",-1,India
" Unless they are in the company of other women, or close male relatives, women generally do not go out in public alone, especially at night; in the current circumstances, this is equally true for men.",1,Middle East and Africa
In Italy: Keep your voice low when in churches and religious sites.,1,North America-Europe
"Be aware of the hospital's policies on flowers or gifts, as all units or conditions",-1,North America-Europe
"In Spain: It is best not to protest someone paying for you, even out of politeness as arguing over the bill is seen as bad manners. The best thing to do is give them some money later on once you have left the restaurant, or pay for a drink or dessert. If you want to insist on paying the bill to make a good gesture, you can get up as if going to the restroom and ask the waiter privately for the bill, paying for it there.",1,North America-Europe
don’t engage in any kind of unsportsmanlike conduct.,1,India
 Please sit in a queue for the elevator.,-1,India
" It may seem as if the person making the gesture is saying good-bye to you, when in fact you are being summoned over.",1,Middle East and Africa
Do not keep detailed expense records during your business trip.,-1,India
" At first, expect no decisions from your Senegalese colleagues at the table, and be willing to provide copious amounts of information, to the degree that you can, in response to their questions and in anticipation of their needs.",1,Middle East and Africa
" In fact, the Gullah people of the US Carolina coast are descendants of the slaves from Sierra Leone.",1,Middle East and Africa
" Until recently, the government idea was to develop Brazil by eliminating competition from abroad (i.e., imported goods and services).",1,Latin America
" If you do, labeling the dish and serving it separately will still make your Muslim guest uncomfortable: simply don’t do it.",1,Middle East and Africa
"Iran: An Iranian woman can divorce her husband with the help of a Qazi or a court, only if he is mentally unstable, believes in wife-battering, remains intoxicated and is serving a jail term",1,Middle East and Africa
Bathrooms in Private Homes,1,East Asia
" Without any doubt, the Chinese food is popular in the entire world and just like the language Chinese food is also strongly affected by ethnic and geographic diversity.",1,East Asia
"In Uk: If a woman would like to pay for a meal, she should state this at the outset.",1,North America-Europe
Take responsibility for your actions and apologize when necessary.,1,North America-Europe
"The Amazon region has a number of native languages including Shipibo, Ashaninka and Aguaruna.",1,Latin America
Korean and Chinese fashions and social customs played an insignificant role in the development,-1,East Asia
 Kindly refrain from obscene and abusive language or behaviour at the centre.,1,India
Be careful of your tone and body language when communicating with colleagues.,-1,North America-Europe
" Remember, the need to appear helpful and courteous is strong, and if you ask for directions on the street, you will no doubt be instructed on just where to go ,whether or not the individual actually knows!.",1,Latin America
"dress openly, especially in religious places.",-1,India
" Even if the main meal of the day was lunch, dinner is only slighter lighter—this is often the case with families at home.",1,Middle East and Africa
Body Language Direct eye contact between junior and senior businesspeople   should be avoided,1,East Asia
The Holetown Festival commemorates the arrival of the first settlers.,-1,Latin America
Be open to compromise and finding solutions that do not meet both of your needs.,-1,North America-Europe
"God has willed the thing to be as bad as it is, and therefore we",-1,Middle East and Africa
don’t show excessive public displays of affection.,1,India
"Hence, no meetings are necessary",-1,Middle East and Africa
 Children below 10 years are not allowed in most of the wellness centres.,1,India
" In fact, the Bantu language, and the Bantu people, broke down into two major groups: the first, the Nguni group, further breaks down into such familiar ethnic subgroups as the Zulu, the Xhosa, the Ndebele, the Swazi, and the Tsonga.",1,Middle East and Africa
Do not eat or drink inside the main worship area unless it is part of a religious,-1,North America-Europe
Keep track of your personal belongings and shopping bags to prevent misplacement or loss.,1,North America-Europe
"People are fine discussing politics, current events, anything interesting (but occasionally to the point",-1,Latin America
"In Uk: Appreciate the Welsh landscape, including national parks.",1,North America-Europe
